ride_id,driver_id,customer_id,car_type,pick_up_location,drop_location,pickup_time,drop_time,total_duration,distance,rate_per_km,fare,ride_status
RID000001,DRV01573,CUS44170,SUV,Kurla,Vile Parle,2026-01-24 05:49:50,2026-01-24 06:37:50,48,4.22,19,130.18,completed
RID000002,DRV05843,CUS15467,Sedan,Kurla,Malad,2026-03-26 17:42:21,2026-03-26 18:30:21,48,19.18,15,337.7,completed
RID000003,DRV04024,CUS23767,Sedan,Borivali,Santacruz,2025-07-22 20:27:30,2025-07-22 21:26:30,59,17.63,15,314.45,completed
RID000004,DRV01069,CUS19418,Sedan,Dadar,Bandra,2025-10-16 08:58:33,2025-10-16 09:42:33,44,1.71,15,75.65,completed
RID000005,DRV08292,CUS02496,Sedan,Vile Parle,Andheri,2026-05-15 12:41:39,2026-05-15 14:05:39,84,9.76,15,196.4,completed
RID000006,DRV09817,CUS07319,Sedan,Malad,Powai,2025-12-23 14:41:02,2025-12-23 15:28:02,47,21.58,15,373.7,completed
RID000007,DRV05632,CUS44235,SUV,Andheri,Bandra,2025-12-08 02:59:48,2025-12-08 04:26:48,87,16.31,19,359.89,completed
RID000008,DRV07098,CUS41396,SUV,Malad,Borivali,2025-10-28 14:22:34,2025-10-28 15:43:34,81,27.22,19,567.18,completed
RID000009,DRV02414,CUS45264,Hatchback,Powai,Mulund,2026-01-25 21:39:50,2026-01-25 22:56:50,77,11.56,11,177.16,completed
RID000010,DRV02999,CUS49265,Sedan,Santacruz,Juhu,2026-04-19 16:02:19,2026-04-19 17:31:19,89,22.42,15,386.3,cancelled
RID000011,DRV02168,CUS20897,Hatchback,Powai,Vile Parle,2026-05-23 04:05:48,2026-05-23 04:54:48,49,8.14,11,139.54,completed
RID000012,DRV00617,CUS35995,Sedan,Mulund,Santacruz,2026-02-15 02:49:00,2026-02-15 03:47:00,58,24.15,15,412.25,completed
RID000013,DRV01807,CUS32906,SUV,Andheri,Dadar,2026-05-18 22:47:39,2026-05-18 23:32:39,45,11.59,19,270.21,completed
RID000014,DRV01222,CUS40445,Sedan,Ghatkopar,Andheri,2025-08-19 04:50:56,2025-08-19 05:56:56,66,2.51,15,87.65,completed
RID000015,DRV09981,CUS47045,SUV,Ghatkopar,Andheri,2025-07-06 07:21:55,2025-07-06 08:36:55,75,24.54,19,516.26,completed
RID000016,DRV03849,CUS21143,Hatchback,Santacruz,Bandra,2026-03-28 07:25:13,2026-03-28 08:02:13,37,20.91,11,280.01,cancelled
RID000017,DRV01529,CUS25700,SUV,Bandra,Vile Parle,2026-01-14 21:11:24,2026-01-14 22:16:24,65,24.53,19,516.07,completed
RID000018,DRV06178,CUS38814,Hatchback,Andheri,Bandra,2025-09-29 04:14:50,2025-09-29 04:51:50,37,3.99,11,93.89,cancelled
RID000019,DRV01855,CUS45223,Sedan,Dadar,Santacruz,2025-07-11 02:58:26,2025-07-11 03:54:26,56,16.63,15,299.45,completed
RID000020,DRV04048,CUS09661,Hatchback,Juhu,Mulund,2026-04-11 12:33:20,2026-04-11 13:28:20,55,27.06,11,347.66,cancelled
RID000021,DRV04807,CUS35429,SUV,Santacruz,Vile Parle,2025-11-04 07:05:30,2025-11-04 08:32:30,87,11.03,19,259.57,cancelled
